"lang"
{
	"Language"		"English"
"rune_cast_range_description_0" 	"Additional Cast Range: 200/400/600"
"rune_cast_range_description_1" 	"Additional Cast Range: <b><font color='#eabe10'>200</font></b>/400/600"
"rune_cast_range_description_2" 	"Additional Cast Range: 200/<b><font color='#eabe10'>400</font></b>/600"
"rune_cast_range_description_3" 	"Additional Cast Range: 200/400/<b><font color='#eabe10'>600</font></b>"
"rune_sentinel_description_0" 		"Reduced Damage from Attacks: 5%/10%/15%"
"rune_sentinel_description_1" 		"Reduced Damage from Attacks: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_sentinel_description_2" 		"Reduced Damage from Attacks: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_sentinel_description_3" 		"Reduced Damage from Attacks: 5%/10%/<b><font color='#eabe10'>15%</font></b>"
"rune_antimagic_description_0" 		"Magic Resistance: 10%/20%/30%"
"rune_antimagic_description_1" 		"Magic Resistance: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_antimagic_description_2" 		"Magic Resistance: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_antimagic_description_3" 		"Magic Resistance: 10%/20%/<b><font color='#eabe10'>30%</font></b>"

"rune_rebirth_description_0" 		"Extra Lives: 1/2/3"
"rune_rebirth_description_1" 		"Extra Lives: <b><font color='#eabe10'>1</font></b>/2/3"
"rune_rebirth_description_2" 		"Extra Lives: 1/<b><font color='#eabe10'>2</font></b>/3"
"rune_rebirth_description_3" 		"Extra Lives: 1/2/<b><font color='#eabe10'>3</font></b>"
"rune_knight_description_0" 		"Armor: 10%/20%/30%"
"rune_knight_description_1" 		"Armor: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_knight_description_2" 		"Armor: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_knight_description_3" 		"Armor: 10%/20%/<b><font color='#eabe10'>30%</font></b>"
"rune_agility_description_0" 		"Agility: 5%/10%/15%"
"rune_agility_description_1" 		"Agility: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_agility_description_2" 		"Agility: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_agility_description_3" 		"Agility: 5%/10%/<b><font color='#eabe10'>15%</font></b>"

"rune_evasion_description_0" 		"Evasion: 10%/20%/30%"
"rune_evasion_description_1" 		"Evasion: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_evasion_description_2" 		"Evasion: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_evasion_description_3" 		"Evasion: 10%/20%/<b><font color='#eabe10'>30%</font></b>"
"rune_rage_description_0" 			"Increased All Damage Dealt: 5%/10%/15%"
"rune_rage_description_1" 			"Increased All Damage Dealt: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_rage_description_2" 			"Increased All Damage Dealt: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_rage_description_3" 			"Increased All Damage Dealt: 5%/10%/<b><font color='#eabe10'>15%</font></b>"
"rune_monk_description_0" 			"Chance to Evade All Damage: 5%/10%/15%"
"rune_monk_description_1" 			"Chance to Evade All Damage: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_monk_description_2" 			"Chance to Evade All Damage: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_monk_description_3" 			"Chance to Evade All Damage: 5%/10%/<b><font color='#eabe10'>15%</font></b>"

"rune_berserker_description_0" 		"Base Attack Speed: 1.5/1.4/1.3"
"rune_berserker_description_1" 		"Base Attack Speed: <b><font color='#eabe10'>1.5</font></b>/1.4/1.3"
"rune_berserker_description_2" 		"Base Attack Speed: 1.5/<b><font color='#eabe10'>1.4</font></b>/1.3"
"rune_berserker_description_3" 		"Base Attack Speed: 1.5/1.4/<b><font color='#eabe10'>1.3</font></b>"
"rune_hunter_description_0" 		"Bonus Attack Range: 100/200/300"
"rune_hunter_description_1" 		"Bonus Attack Range: <b><font color='#eabe10'>100</font></b>/200/300"
"rune_hunter_description_2" 		"Bonus Attack Range: 100/<b><font color='#eabe10'>200</font></b>/300"
"rune_hunter_description_3" 		"Bonus Attack Range: 100/200/<b><font color='#eabe10'>300</font></b>"
"rune_vampire_description_0" 		"Lifesteal: 5%/10%/15%"
"rune_vampire_description_1" 		"Lifesteal: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_vampire_description_2" 		"Lifesteal: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_vampire_description_3" 		"Lifesteal: 5%/10%/<b><font color='#eabe10'>15%</font></b>"

"rune_speed_description_0" 			"Movement Speed: 10%/20%/30%"
"rune_speed_description_1" 			"Movement Speed: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_speed_description_2" 			"Movement Speed: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_speed_description_3" 			"Movement Speed: 10%/20%/<b><font color='#eabe10'>30%</font></b>"
"rune_gold_description_0" 			"Bonus Gold: 5%/10%/15%"
"rune_gold_description_1" 			"Bonus Gold: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_gold_description_2" 			"Bonus Gold: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_gold_description_3" 			"Bonus Gold: 5%/10%/<b><font color='#eabe10'>15%</font></b>"
"rune_sage_description_0" 			"Mana: 10%/20%/30%"
"rune_sage_description_1" 			"Mana: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_sage_description_2" 			"Mana: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_sage_description_3" 			"Mana: 10%/20%/<b><font color='#eabe10'>30%</font></b>"

"rune_intellect_description_0" 		"Intelligence: 5%/10%/15%"
"rune_intellect_description_1" 		"Intelligence: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_intellect_description_2" 		"Intelligence: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_intellect_description_3" 		"Intelligence: 5%/10%/<b><font color='#eabe10'>15%</font></b>"
"rune_restoration_description_0" 	"Mana Regeneration: 1%/2%/3%"
"rune_restoration_description_1" 	"Mana Regeneration: <b><font color='#eabe10'>1%</font></b>/2%/3%"
"rune_restoration_description_2" 	"Mana Regeneration: 1%/<b><font color='#eabe10'>2%</font></b>/3%"
"rune_restoration_description_3" 	"Mana Regeneration: 1%/2%/<b><font color='#eabe10'>3%</font></b>"
"rune_thought_description_0" 		"Cooldown Reduction: 5%/10%/15%"
"rune_thought_description_1" 		"Cooldown Reduction: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_thought_description_2" 		"Cooldown Reduction: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_thought_description_3" 		"Cooldown Reduction: 5%/10%/<b><font color='#eabe10'>15%</font></b>"

"rune_curse_description_0" 			"Increased Duration of Negative Effects: 10%/20%/30%"
"rune_curse_description_1" 			"Increased Duration of Negative Effects: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_curse_description_2" 			"Increased Duration of Negative Effects: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_curse_description_3" 			"Increased Duration of Negative Effects: 10%/20%/<b><font color='#eabe10'>30%</font></b>"
"rune_spell_description_0" 			"Spell Damage: 10%/20%/30%"
"rune_spell_description_1" 			"Spell Damage: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_spell_description_2" 			"Spell Damage: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_spell_description_3" 			"Spell Damage: 10%/20%/<b><font color='#eabe10'>30%</font></b>"
"rune_cleansing_description_0" 		"Reduced Mana Cost and Mana Loss: 10%/20%/30%"
"rune_cleansing_description_1" 		"Reduced Mana Cost and Mana Loss: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_cleansing_description_2" 		"Reduced Mana Cost and Mana Loss: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_cleansing_description_3" 		"Reduced Mana Cost and Mana Loss: 10%/20%/<b><font color='#eabe10'>30%</font></b>"

"rune_sorcerer_description_0" 		"Spell Lifesteal: 5%/10%/15%"
"rune_sorcerer_description_1" 		"Spell Lifesteal: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_sorcerer_description_2" 		"Spell Lifesteal: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_sorcerer_description_3" 		"Spell Lifesteal: 5%/10%/<b><font color='#eabe10'>15%</font></b>"
"rune_barrier_description_0" 		"Grants a permanent barrier that absorbs any damage: 10%/20%/30% of max Health and Mana <br><br> Cooldown: 20 sec."
"rune_barrier_description_1" 		"Grants a permanent barrier that absorbs any damage: <b><font color='#eabe10'>10%</font></b>/20%/30% of max Health and Mana <br><br> Cooldown: 20 sec."
"rune_barrier_description_2" 		"Grants a permanent barrier that absorbs any damage: 10%/<b><font color='#eabe10'>20%</font></b>/30% of max Health and Mana <br><br> Cooldown: 20 sec."
"rune_barrier_description_3" 		"Grants a permanent barrier that absorbs any damage: 10%/20%/<b><font color='#eabe10'>30%</font></b> of max Health and Mana <br><br> Cooldown: 20 sec."
"rune_creator_description_0" 		"Additional Neutral Item and Charm Rerolls: 2/4/6"
"rune_creator_description_1" 		"Additional Neutral Item and Charm Rerolls: <b><font color='#eabe10'>2</font></b>/4/6"
"rune_creator_description_2" 		"Additional Neutral Item and Charm Rerolls: 2/<b><font color='#eabe10'>4</font></b>/6"
"rune_creator_description_3" 		"Additional Neutral Item and Charm Rerolls: 2/4/<b><font color='#eabe10'>6</font></b>"

"rune_replenishment_description_0" 	"Health Regeneration Increase: 10%/20%/30%"
"rune_replenishment_description_1" 	"Health Regeneration Increase: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_replenishment_description_2" 	"Health Regeneration Increase: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_replenishment_description_3" 	"Health Regeneration Increase: 10%/20%/<b><font color='#eabe10'>30%</font></b>"
"rune_time_description_0" 			"Round Duration Increase: 10/20/30 sec."
"rune_time_description_1" 			"Round Duration Increase: <b><font color='#eabe10'>10</font></b>/20/30 sec."
"rune_time_description_2" 			"Round Duration Increase: 10/<b><font color='#eabe10'>20</font></b>/30 sec."
"rune_time_description_3" 			"Round Duration Increase: 10/20/<b><font color='#eabe10'>30</font></b> sec."
"rune_radius_description_0" 		"Spell Radius: 100/200/300"
"rune_radius_description_1" 		"Spell Radius: <b><font color='#eabe10'>100</font></b>/200/300"
"rune_radius_description_2" 		"Spell Radius: 100/<b><font color='#eabe10'>200</font></b>/300"
"rune_radius_description_3" 		"Spell Radius: 100/200/<b><font color='#eabe10'>300</font></b>"

"battlepass_level_ads_1"		"Level 50"
"battlepass_name_ads_1"			"Dead Inside"
"battlepass_desc_ads_1"			"Profile Background"
"battlepass_level_ads_2"		"Level 75"
"battlepass_name_ads_2"			"Double Rating"
"battlepass_desc_ads_2"			"Token"
"battlepass_level_ads_3"		"Level 100"
"battlepass_name_ads_3"			"Portal Pink Head"
"battlepass_desc_ads_3"			"Effect"
"battlepass_level_ads_4"		"Level 200"
"battlepass_name_ads_4"			"Flopjaw the Boxhound"
"battlepass_desc_ads_4"			"Pet"


"hours_count"				"Hours in game: "
"bp_coins_25"				"25 Coins"
"bp_coins_100"				"100 Coins"
"bp_coins_500"				"500 Coins"
"bp_coins_1150"				"1150 Coins"
"bp_double_token"			"Double Rating"
"bp_woda_plus"				"WODA Plus 1 Day"
"double_rating_title"		"Double Rating?"


"player_connect_no_data"		"No connection to the server.<br>Game statistics will not be recorded.<br>You may leave the game."
"is_game_free_disconnect"		"Several players have left the game.<br>Game statistics will not be recorded.<br>You may leave the game."
"is_game_free_disconnect_team_detected"		"Party players detected in this game.<br>Game statistics will not be recorded.<br>You may leave the game."
"player_connect_no_8"			"Fewer than 7 players in the lobby.<br>Game statistics will not be recorded.<br>You may leave the game."
"is_game_free_disconnect_low_rating_detected"		"Two players have low rating.<br>Game statistics will not be recorded.<br>You may leave the game."
"Player_Leaved"					"You left the game. Penalty: Random Hero in the next match."
"give_free_reward"				"Daily Reward"
"give_free_reward_description"	"Log in every day to receive 10 Coins for free."
"shop_error_you_get_reward"		"Error"
"wave"							"Wave "
"season"						"Season"
"woda_universal"				"Universal"
"player_banned"					"You received too many reports for teaming.<br>Penalty: Random Hero in the next match."
"report_button_description"		"Report"
"player_banned_die"				"You received too many reports for teaming.<br>Penalty: 24-hour party ban."
"lose_duel"						"The loser of this duel is eliminated."
"not_lose_duel"					"No one will be eliminated after this duel."
"button_top_profile"			"Profile"
"button_top_shop"				"Shop"
"button_top_leaderboard"		"Leaderboard"
"subscribe_information"			"WODA Plus unlocks new in-game features: <br> + 100% Coin Bonus for Games <br> + Access to Quests <br> + Damage Statistics <br> + 100% Hero Leveling Bonus <br> + 100% Battle Pass Leveling Bonus"
"localize_rank_info"			"Play and earn coins with this hero to level up their Rank. <br><br> <b><font color='#81b6f3'>Platinum:</font></b> <br> Reduces all damage taken by this hero in Arena mode by 10% <br><br> <b><font color='#9f5abc'>Master:</font></b> <br> Increases all damage dealt by this hero in Arena mode by 10% <br><br> <b><font color='#e01232'>Grandmaster:</font></b> <br> Increases coins earned from matches with this hero: 1"

"donaters_coins"				"Donators"
"donate_button_leaderboard"		"Purchase"
"Leaderboard_coins_col"			"COINS"
"coins_donaters_description"	"World of Dota is a project that exists solely through player donations. Buy coins on the official website to get on the list. The community should know its heroes!"

"notification_pve_players_hard_1"		"Difficulty: 1 Player"
"notification_pve_players_hard_2"		"Difficulty: 2 Players"
"notification_pve_players_hard_3"		"Difficulty: 3 Players"
"notification_pve_players_hard_4"		"Difficulty: 4 Players"


"how_to_upgrade_talent" 		"<font color='#eabe10'>To unlock this talent, you need to learn</font>"
"how_to_upgrade_str"    		"<font color='#eabe10'>talent(s) in the Strength.</font>"
"how_to_upgrade_agi"    		"<font color='#eabe10'>talent(s) in the Agility.</font>"
"how_to_upgrade_int"    		"<font color='#eabe10'>talent(s) in the Intelligence.</font>"
"how_to_upgrade_talent_unique" 	"<font color='#eabe10'>To unlock this talent, you need to learn the previous linked talent.</font>"

"hints_1_description"		"Don't forget to upgrade your hero's talents to keep up with other players. The talent button is located next to the hero portrait."
"hints_2_description"		"Each hero level grants 1 talent point. You can earn 10 more by filling the bar in the bottom right corner of the screen. The maximum number of talents a hero can have is 40."
"hints_3_description"		"In World of Dota, any hero can change their primary attribute."
"hints_4_description"		"In Rating and Rating Duo modes, the weakest players after each arena go into a duel. Losers may be eliminated from the game."
"hints_5_description"		"If you choose a random hero, you'll start the game with 100 bonus gold."
"hints_6_description"		"If you correctly guess the duel winner in Rating or Rating Duo modes, the talent bar will fill by 4 and 8 units respectively."
"hints_7_description"		"You earn Coins for every game in World of Dota. These can be used to buy cosmetic items or vote for new heroes."
"hints_8_description"		"WODA Plus unlocks new in-game features: \n + 100% Coin Bonus for Games \n + Access to Quests + Damage Statistics \n + 100% Hero Leveling Bonus + 100% Battle Pass Leveling Bonus"
"hints_9_description"		"There is no invisibility in World of Dota. Instead, invisibility abilities provide other bonuses."
"hints_10_description"		"The final duel in Rating and Rating Duo modes is played in a Best of 3 format—until one team wins twice."
"hints_11_description"		"In Rating and Rating Duo modes, after each arena you can choose one of five bonuses: a neutral item, enchantment, or gold."
"hints_12_description"		"Keep an eye on the time in the top right corner of the screen. This menu shows the current game stage."
"hints_13_description"		"Each monster has a small chance to become a Blue or Red Champion. These monsters grant more gold and experience and also fill the talent bar."
"hints_14_description"		"Instead of regular monsters, you might encounter a Golden Pig or Ice Frog. They die in 3 hits and give lots of gold or experience."
"hints_15_description"		"If you get 5 kills in a row in Rating or Rating Duo modes, you'll become a target. All players will see you on the map until you die or the current arena ends."
"hints_16_description"		"In Rating and Rating Duo modes, Bosses appear on Arenas 3 and 5. Bosses are visible to all players and give lots of gold or experience."
"hints_17_description"		"If you click a hero icon in the top menu while holding the Alt key, you'll TIP them. TIPs can be customized in your player profile."
"hints_18_description"		"World of Dota features over 30 new unique items. We recommend learning about them before starting a game."
"hints_19_description"		"In World of Dota, neutral items and enchantments are separate. You can combine them however you like."
"hints_20_description"		"Neutral items can be sold manually. When selecting a new neutral item or enchantment, the old ones are automatically sold for half their value."
"hints_21_description"		"In World of Dota, you don't need to buy Sentry Wards and Observer Wards. They refill automatically at the end of each arena. Maximum per type: 3."
"hints_22_description"		"If you click a hero icon in the top menu, you'll see their core talents."
"hints_23_description"		"By increasing your hero's rank, you not only complete quests but also unlock new phrases in the hero chat wheel."
"hints_24_description"		"Vote for your favorite heroes with your Coins. Once the required amount is collected, our team will begin development and the hero will enter the World of Dota."
"hints_25_description"		"Upon reaching 300 rating, the modes rating300 and ratingduo300 become available. In these modes, hero bans are enabled during the picking phase, and you receive more coins and rating for matches."

"tp_effect_1"				"Frosty Freshness"
"tp_effect_2"				"Sands of Eternity"
"tp_effect_3"				"Prism"
"tp_effect_4"				"Quantum Beam"
"tp_effect_5"				"Champion's Gold"
"tp_effect_6"				"Chaos Impulse"
"tp_effect_7"				"Heart of Nature"
"tp_effect_8"				"Techno Rift"
"tp_effect_9"				"Crimson Frontier"
"tp_effect_10"				"Obsidian Vortex"
"tp_effect_11"				"Festive"
"tp_effect_12"				"Icy Mirrors"

"tp_effect_1_description"	"Teleportation effect for the hero."
"tp_effect_2_description"	"Teleportation effect for the hero."
"tp_effect_3_description"	"Teleportation effect for the hero."
"tp_effect_4_description"	"Teleportation effect for the hero."
"tp_effect_5_description"	"Teleportation effect for the hero."
"tp_effect_6_description"	"Teleportation effect for the hero."
"tp_effect_7_description"	"Teleportation effect for the hero."
"tp_effect_8_description"	"Teleportation effect for the hero."
"tp_effect_9_description"	"Teleportation effect for the hero."
"tp_effect_10_description"	"Teleportation effect for the hero."
"tp_effect_11_description"	"Teleportation effect for the hero."
"tp_effect_12_description"	"Teleportation effect for the hero."


		"emblem_1"					"Halloween Yellow"
		"emblem_2"					"Halloween Green"
		"emblem_3"					"Halloween Orange"
		"emblem_4"					"Halloween Violet"
		"emblem_5"					"Timeless Aghanim"
		"emblem_6"					"Lava Sphere"
		"emblem_7"					"Eternal Nature"
		"emblem_8"					"Black Gold"
		"emblem_9"					"Full Moon Lotus"
		"emblem_10"					"Green Crystals"
		"emblem_11"					"Ocean Blue"
		"emblem_12"					"Golden Heal"
		"emblem_13"					"Red Ribbon"
		"emblem_14"					"Water Style"
		"emblem_15"					"Red Crystals"
		"emblem_16"					"Green Mark"
		"emblem_17"					"Universe"
		"emblem_18"					"Purple Love"
		"emblem_19"					"Blue Wizard"
		"emblem_20"					"Desert Storm"
		"emblem_21"					"Aura of the Dead"
		"emblem_22"					"Orbit"
		"emblem_23"					"Blood Flame"
		"emblem_24"					"Wings of Light"
		"emblem_25"					"Classic Music"
		"emblem_26"					"Neon Music"
		"emblem_27"					"Ice Mist"
		"emblem_28"					"Butterfly Effect"
		"emblem_29"					"Flame"
		"emblem_30"					"Angel Slayer"

		"emblem_37"					"Clown Hat"
		"emblem_33"					"Ghost"
		"emblem_35"					"Purple Glow"
		"emblem_36"					"Green Glow"
		"emblem_32"					"Natural Grass"
		"emblem_38"					"Sailor Moon"
		"emblem_31"					"Shine Maker"
